reg_id,add_id,email_guid,sent_at,subject,full_text,r,email url,order confirmation,shipping confirmation,delivery notification
6361,7526,45f2d9ed-128e-9ae5-b8f1-4e224a02dfca,1/10/17 21:34,"Welcome, Lorem Ipsum!","LE CREUSET Welcome to Le Creuset. To log in when visiting our site just click Login or My Account at the top of every page, and then enter your email address and clave. Use the following values when prompted to log in:Email: xxx@xxx.xxxclave: When you log in to your account, you will be able to do the following: Proceed through checkout faster when making a purchase Check the status of orders View past orders Make changes to your account information Change your clave Store alternative addresses (for shipping to multiple family members and friends!) If you have any questions, please feel free to contact us at noreply@lecreuset.com or by phone at 1-877-418-5547. Cookware Bakeware Kitchen Tools Specials Store Locator",1,https://www.mailcharts.com/emails/45f2d9ed-128e-9ae5-b8f1-4e224a02dfca,,,
6361,7526,34db5cee-2a9c-17f4-b97d-68343ad26f19,1/10/17 21:36,"Hi! You were looking for free shipping, right?","Save a bundle on shipping with code LECREUSETLOVE. View in browser LE CREUSET Cookware Bakeware Explore by Color Specials Store Locator Recipes SHOP NOW We're so glad you could join us. As a bonus for signing-up to our emails, enjoy free shipping on your next order with code LECREUSETLOVE. TAKE ME SHOPPING Enameled Cast Iron: Perfected Design, Superior Quality Hand-made, durable, and beautiful. We wouldnâ€™t settle for less. LEARN ABOUT CAST IRON SHOP CAST IRON Everyone Loves a Classic No matter the occasion, these timeless gifts never go out of style. SHOP OUR FAVORITES SHOP GIFT SETS Dutch Ovens Dutch Ovens Kitchen Tools Kitchen Tools LC101 LC101 Bakeware Skillets Skillets Cookware Cookware Tabletop Tabletop Cookware Bakeware Explore by Color Specials Store Locator Recipes You are receiving this email because you subscribed at lecreuset.com We promise to only use your information in accordance with our privacy policy. Â© 2017 Le Creuset | 114 Bob Gifford Blvd. | Early Branch, SC 29916 Unsubscribe from future emails. | Change your email preferences. View in browser",2,https://www.mailcharts.com/emails/34db5cee-2a9c-17f4-b97d-68343ad26f19,,,
6361,7526,55f96ec8-739f-4a3a-63c4-ec1fddcf795d,1/10/17 21:41,Le Creuset: New Order # 200068673,"LE CREUSET Thank you for your order from Le Creuset. Once your package ships we will send an email with a link to track your order. Your order summary is below. Thank you again for your business. Order Questions? Call Us: 1-877-418-5547Monday - Friday, 8 a.m. to 8 p.m. ESTEmail: noreply@lecreuset.com Your order #200068673 Placed on January 10, 2017 4:41:53 PM EST Item in your order Qty Price Dutch Oven Cookie Cutter SKU: CCL2501 1 $5.00 Subtotal $5.00 Shipping & Handling $5.50 Tax $0.93 Grand Total $11.43 Bill to: Lorem Ipsum 175 Main Street Floor 2 New York, New York, 00000 United States T: 3055555555 Ship to: Lorem Ipsum 175 Main Street Floor 2 New York, New York, 00000 United States T: 3055555555 Shipping method: Select Shipping Method - UPS Standard Ground Payment method: Credit Card Credit Card Type Visa Credit Card Number xxxx-1295 Cookware Bakeware Kitchen Tools Specials Store Locator",3,https://www.mailcharts.com/emails/55f96ec8-739f-4a3a-63c4-ec1fddcf795d,1,,
6361,7526,f0188d30-aa26-8614-7a44-aa149fad66b0,1/12/17 21:37,Your kitchen + our color choices = food heaven,"What will you bring to the table? View in browser LE CREUSET Cookware Bakeware Explore by Color Specials Store Locator Recipes EXPLORE OUR COLORS Our professional-grade cookware is as beautiful as it is durable. Choose the color that speaks to you and find what your kitchen isÂ missing. EXPLORE OUR COLORS Seeking More Variety? Bien SÃ»r! One great color deserves another. Let us help you find the perfect pairing GET STARTED GET STARTED Dutch Ovens Dutch Ovens Kitchen Tools Kitchen Tools LC101 LC101 Bakeware Bakeware Skillets Skillets Cookware Cookware Tabletop Tabletop Cookware Bakeware Explore by Color Specials Store Locator Recipes You are receiving this email because you subscribed at lecreuset.com We promise to only use your information in accordance with our privacy policy. Â© 2017 Le Creuset | 114 Bob Gifford Blvd. | Early Branch, SC 29916 Unsubscribe from future emails. | Change your email preferences. View in browser",4,https://www.mailcharts.com/emails/f0188d30-aa26-8614-7a44-aa149fad66b0,,,
6361,7526,29af73ae-8956-9bdc-7148-d5eb0bde173b,1/13/17 15:09,Free Shipping Starts Now + Storage Staples to Get Organized!,"Plus, a sweet treat for you! LE CREUSET Cookware Bakeware Explore by Color Specials Store Locator Recipes It's your lucky day! Free shipping starts now! Sweet treat! Free petite heart cocotte with $150 purchase. Use code: LOVE - Shop Now! Storage Staples - Storage containers with wood lid, starting at $25. Shop Now! New Arrivals - Shop the heart collection! Cookware Bakeware Explore by Color Specials Store Locator Recipes Also available at Le Creuset Boutiques Free ground shipping all orders for a limited time. No promo code necessary. Does not apply to rush shipping. Cannot be applied to prior purchases. Applies only to orders placed online at www.lecreuset.com and in Le Creuset Signature Boutiques. Offer ends January 16, 2017 at 11:59 p.m. EST. Our gift to you when you spend $150: Petite Heart Cocotte, a $30 value. Must use code LOVE at checkout. One gift per customer. Only available in pink in Le Creuset Signature Stores. Cannot be applied to prior purchases. Gift with purchase valid online at www.lecreuset.com and in Le Creuset Signature Stores January 1 - February 14, 2017 at 11:59 p.m. EST, or while supplies last. Limited quantity available. Offer not available in Le Creuset outlet stores.You are receiving this email because you subscribed at lecreuset.com We promise to only use your information in accordance with our privacy policy. Â© 2017 Le Creuset | 114 Bob Gifford Blvd. | Early Branch, SC 29916 Unsubscribe from future emails. | Change your email preferences. View in browser",5,https://www.mailcharts.com/emails/29af73ae-8956-9bdc-7148-d5eb0bde173b,,,
6361,7526,f6a07758-4be1-2c3a-4c88-83dc8fb68712,1/13/17 23:59,Le Creuset: Shipment # 200064834 for Order # 200068673,"LE CREUSET Thank you for your order from Le Creuset. You can check the status of your order by logging into your account. Order Questions? Call Us: 1-877-418-5547Monday - Friday, 8 a.m. to 8 p.m. ESTEmail: noreply@lecreuset.com Your Shipment #200064834 Order #200068673 Item in your order Sku Qty Dutch Oven Cookie Cutter CCL2501 1 Bill to: Lorem Ipsum 175 Main Street Floor 2 New York, New York, 00000 United States T: 3055555555 Ship to: Lorem Ipsum 175 Main Street Floor 2 New York, New York, 00000 United States T: 3055555555 Shipping method: Select Shipping Method - UPS Standard Ground Payment method: Credit Card Credit Card Type Visa Credit Card Number xxxx-1295 Shipped By Tracking Number custom 1Z2243210313469940 Cookware Bakeware Kitchen Tools Specials Store Locator",6,https://www.mailcharts.com/emails/f6a07758-4be1-2c3a-4c88-83dc8fb68712,,1,
6361,7526,9fdbe5dc-7d44-b243-c97e-1bd8301c0662,1/15/17 15:09,Make it a Joyful Year,"To view this email as a web page, go here. LE CREUSET Cookware Bakeware Explore by Color Specials Store Locator Recipes This Year, Resolve to Cook - January News It's a new year, and we're brimming with excitement: for new flavors, new experiences, and a fresh start in the kitchen. So sharpen those knives, lay out some crisp cotton towels and roll up your sleevesâ€”we have all the inspiration you need. What we love right now are healthy, hardworking recipes that can be prepped ahead of time, do double duty as leftovers, and satisfy a ravenous crowd. Classics like our Casserole Roasted Chicken, or a warming vegetarian entrÃ©e like Parsnip and Carrot Gratin. The Oval Dutch Oven is a perfect vessel for bothâ€”and much more. You could turn winter's spoils into a savory stock for the months ahead, learn new skills in the kitchen, or plan an elegant dinner party to share with family and friends. Make it a joyful yearâ€”starting here. Guest Chef Series: Michael Toscana of Le Farfalle Learn new skills, sample exquisite Italian fare and share a glass of perfectly paired vino with Zagat and James Beard-recognized chef Michael Toscano! Joining us at L'Atelier from his recently opened osteria, Le Farfalle in Charleston, Chef Toscano sets a convivial, full-flavored tone for the new year with a cooking demonstration, tastings, and wine. BUY TICKETS Nuit Belge at Le Creuset Sate your craving for something surprising at Nuit Belge's series of whimsical, epicurean events. Featuring Belgian-inspired beers from our talented friends at Blackberry Farm, paired with a rotating menu of mouth-watering small plates from the South's best chefs, we're hosting previews just for you at our New Orleans, Nashville, and Charleston Le Creuset stores. SHOP NOW Live From The Cayman Cookout Sun-drenched, overflowing with big personalities and dishing up even bigger flavors, the Cayman Cookout is happening now-and we're live-streaming everything! Go barefoot, follow along and find yourself immersed in a culinary experience like no other with chefs Eric Ripert, Anthony Bourdain, JosÃ© AndrÃ©s, and Emeril Lagasse. WATCH LIVE Cookware Bakeware Explore by Color Specials Store Locator Recipes You are receiving this email because you subscribed at lecreuset.com We promise to only use your information in accordance with our privacy policy. Â© 2017 Le Creuset | 114 Bob Gifford Blvd. | Early Branch, SC 29916 Unsubscribe from future emails. | Change your email preferences. View in browser",7,https://www.mailcharts.com/emails/9fdbe5dc-7d44-b243-c97e-1bd8301c0662,,,
6361,7526,20bcf82b-2c94-94ac-71ea-8e0fc6513f04,1/15/17 21:37,Customize your cookware and your inbox,"Fill out your preferences to get emails just for you View in browser LE CREUSET Cookware Bakeware Explore by Color Specials Store Locator Recipes CHOOSE QUALITY OVER QUANTITY Tell us a little about your preferences to get the exact kind of emails you want from LeÂ Creuset. UPDATE YOUR PREFERENCES Dutch Ovens Dutch Ovens Kitchen Tools Kitchen Tools LC101 LC101 Bakeware Bakeware Skillets Skillets Cookware Cookware Tabletop Tabletop Cookware Bakeware Explore by Color Specials Store Locator Recipes You are receiving this email because you subscribed at lecreuset.com We promise to only use your information in accordance with our privacy policy. Â© 2017 Le Creuset | 114 Bob Gifford Blvd. | Early Branch, SC 29916 Unsubscribe from future emails. | Change your email preferences. View in browser",8,https://www.mailcharts.com/emails/20bcf82b-2c94-94ac-71ea-8e0fc6513f04,,,
6361,7526,1cd9bf8a-8506-5b9d-df34-ed30c5713de1,1/16/17 15:07,Free Shipping Ends Today + Reasons to Love Our Oval Ovens!,"Get inspired to cook at home this month. LE CREUSET Cookware Bakeware Explore by Color Specials Store Locator Recipes Free shipping ends today! Shop now! The perfect shape! An elongated design fits larger roasts and poultry, and the smooth interior enamel is nearly nonstick. We're resolving to cook at home this January - Get inspired! Sweet treat! Free petite heart cocotte with $150 purchase. Shop now! Cookware Bakeware Explore by Color Specials Store Locator Recipes Also available at Le Creuset Boutiques Free ground shipping all orders for a limited time. No promo code necessary. Does not apply to rush shipping. Cannot be applied to prior purchases. Applies only to orders placed online at www.lecreuset.com and in Le Creuset Signature Boutiques. Offer ends January 16, 2017 at 11:59 p.m. EST. Our gift to you when you spend $150: Petite Heart Cocotte, a $30 value. Must use code LOVE at checkout. One gift per customer. Only available in pink in Le Creuset Signature Stores. Cannot be applied to prior purchases. Gift with purchase valid online at www.lecreuset.com and in Le Creuset Signature Stores January 1 - February 14, 2017 at 11:59 p.m. EST, or while supplies last. Limited quantity available. Offer not available in Le Creuset outlet stores.You are receiving this email because you subscribed at lecreuset.com We promise to only use your information in accordance with our privacy policy. Â© 2017 Le Creuset | 114 Bob Gifford Blvd. | Early Branch, SC 29916 Unsubscribe from future emails. | Change your email preferences. View in browser",9,https://www.mailcharts.com/emails/1cd9bf8a-8506-5b9d-df34-ed30c5713de1,,,
6361,7526,6425ce6f-e013-f350-62e2-53593752f52b,1/18/17 15:07,Introducing the Le Creuset Gift Registry,"Register now or shop our top wedding gifts. LE CREUSET Cookware Bakeware Explore by Color Specials Store Locator Recipes Gifts that last a lifetime - Introducing the Le Creuset Gift Registry Shop our top wedding gifts! Cookware Bakeware Explore by Color Specials Store Locator Recipes You are receiving this email because you subscribed at lecreuset.com We promise to only use your information in accordance with our privacy policy. Â© 2017 Le Creuset | 114 Bob Gifford Blvd. | Early Branch, SC 29916 Unsubscribe from future emails. | Change your email preferences. View in browser",10,https://www.mailcharts.com/emails/6425ce6f-e013-f350-62e2-53593752f52b,,,
